SegmentFareID,SegmentID,BaseAmount,ValidFrom,ValidTo,IsActive
9001,5001,2.50,2026-01-01 00:00:00,2026-12-31 23:59:59,1
9002,5002,2.25,2026-01-01 00:00:00,2026-12-31 23:59:59,1
9003,5003,2.00,2026-01-01 00:00:00,2026-12-31 23:59:59,1
9004,5004,2.25,2026-01-01 00:00:00,2026-12-31 23:59:59,1
9005,5005,2.00,2026-01-01 00:00:00,2026-12-31 23:59:59,1
9006,5006,1.75,2026-01-01 00:00:00,2026-12-31 23:59:59,1
9007,5007,5.50,2026-01-01 00:00:00,2026-12-31 23:59:59,1
9008,5008,4.50,2026-01-01 00:00:00,2026-12-31 23:59:59,1
9009,5009,8.50,2026-01-01 00:00:00,2026-12-31 23:59:59,1
9010,5010,1.50,2026-01-01 00:00:00,2026-12-31 23:59:59,1
9011,5011,1.50,2026-01-01 00:00:00,2026-12-31 23:59:59,1
